common_name,species
Sharp-tailed Streamcreeper,Lochmias nematura
Slaty-winged Foliage-gleaner,Philydor fuscipenne
Buff-fronted Foliage-gleaner,Dendroma rufa
Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps
Lineated Foliage-gleaner,Syndactyla subalaris
Ruddy Foliage-gleaner,Clibanornis rubiginosus
Streak-breasted Treehunter,Thripadectes rufobrunneus
Buff-throated Foliage-gleaner,Automolus ochrolaemus
Chiriqui Foliage-gleaner,Automolus exsertus
Striped Woodhaunter,Automolus subulatus
Spotted Barbtail,Premnoplex brunnescens
Beautiful Treerunner,Margarornis bellulus
Ruddy Treerunner,Margarornis rubiginosus
Double-banded Graytail,Xenerpestes minlosi
Red-faced Spinetail,Cranioleuca erythrops
Coiba Spinetail,Cranioleuca dissita
Pale-breasted Spinetail,Synallaxis albescens
Slaty Spinetail,Synallaxis brachyura
Rufous-breasted Spinetail,Synallaxis erythrothorax
Rufous-browed Peppershrike,Cyclarhis gujanensis
Scrub Greenlet,Hylophilus flavipes
Chestnut-sided Shrike-Vireo,Vireolanius melitophrys
Green Shrike-Vireo,Vireolanius pulchellus
Yellow-browed Shrike-Vireo,Vireolanius eximius
Tawny-crowned Greenlet,Tunchiornis ochraceiceps
Lesser Greenlet,Pachysylvia decurtata
Golden-fronted Greenlet,Pachysylvia aurantiifrons
Golden Vireo,Vireo hypochryseus
Blue Mountain Vireo,Vireo osburni
Slaty Vireo,Vireo brevipennis
Black-capped Vireo,Vireo atricapilla
Dwarf Vireo,Vireo nelsoni
White-eyed Vireo,Vireo griseus
Thick-billed Vireo,Vireo crassirostris
Mangrove Vireo,Vireo pallens
Cozumel Vireo,Vireo bairdi
San Andres Vireo,Vireo caribaeus
Jamaican Vireo,Vireo modestus
Cuban Vireo,Vireo gundlachii
Puerto Rican Vireo,Vireo latimeri
Flat-billed Vireo,Vireo nanus
Bell's Vireo,Vireo bellii
Gray Vireo,Vireo vicinior
Hutton's Vireo,Vireo huttoni
Yellow-throated Vireo,Vireo flavifrons
Yellow-winged Vireo,Vireo carmioli
Cassin's Vireo,Vireo cassinii
Blue-headed Vireo,Vireo solitarius
Plumbeous Vireo,Vireo plumbeus
Philadelphia Vireo,Vireo philadelphicus
Warbling Vireo,Vireo gilvus
Brown-capped Vireo,Vireo leucophrys
Red-eyed Vireo,Vireo olivaceus
Yellow-green Vireo,Vireo flavoviridis
Black-whiskered Vireo,Vireo altiloquus
Yucatan Vireo,Vireo magister
Kauai Elepaio,Chasiempis sclateri
Oahu Elepaio,Chasiempis ibidis
Hawaii Elepaio,Chasiempis sandwichensis
Brown Shrike,Lanius cristatus
Red-backed Shrike,Lanius collurio
Loggerhead Shrike,Lanius ludovicianus
Northern Shrike,Lanius borealis
Canada Jay,Perisoreus canadensis
White-throated Jay,Cyanolyca mirabilis
Dwarf Jay,Cyanolyca nanus
Black-throated Jay,Cyanolyca pumilo
Silvery-throated Jay,Cyanolyca argentigula
Azure-hooded Jay,Cyanolyca cucullata
Black-throated Magpie-Jay,Calocitta colliei
White-throated Magpie-Jay,Calocitta formosa
Brown Jay,Psilorhinus morio
Tufted Jay,Cyanocorax dickeyi
Black-chested Jay,Cyanocorax affinis
Green Jay,Cyanocorax yncas
Bushy-crested Jay,Cyanocorax melanocyaneus
San Blas Jay,Cyanocorax sanblasianus
Yucatan Jay,Cyanocorax yucatanicus
Purplish-backed Jay,Cyanocorax beecheii
Pinyon Jay,Gymnorhinus cyanocephalus
Steller's Jay,Cyanocitta stelleri
Blue Jay,Cyanocitta cristata
Florida Scrub-Jay,Aphelocoma coerulescens
Island Scrub-Jay,Aphelocoma insularis
California Scrub-Jay,Aphelocoma californica
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii
Transvolcanic Jay,Aphelocoma ultramarina
Mexican Jay,Aphelocoma wollweberi
Unicolored Jay,Aphelocoma unicolor
Clark's Nutcracker,Nucifraga columbiana
Black-billed Magpie,Pica hudsonia
Yellow-billed Magpie,Pica nuttalli
Eurasian Jackdaw,Corvus monedula
Rook,Corvus frugilegus
American Crow,Corvus brachyrhynchos
Cuban Palm-Crow,Corvus minutus
Hispaniolan Palm-Crow,Corvus palmarum
Cuban Crow,Corvus nasicus
White-necked Crow,Corvus leucognaphalus
Hooded Crow,Corvus cornix
Jamaican Crow,Corvus jamaicensis
Tamaulipas Crow,Corvus imparatus
Sinaloa Crow,Corvus sinaloae
Fish Crow,Corvus ossifragus
Hawaiian Crow,Corvus hawaiiensis
Chihuahuan Raven,Corvus cryptoleucus
Common Raven,Corvus corax
Verdin,Auriparus flaviceps
Carolina Chickadee,Poecile carolinensis
Black-capped Chickadee,Poecile atricapillus
Mountain Chickadee,Poecile gambeli
Mexican Chickadee,Poecile sclateri
Chestnut-backed Chickadee,Poecile rufescens
Boreal Chickadee,Poecile hudsonicus
Gray-headed Chickadee,Poecile cinctus
Bridled Titmouse,Baeolophus wollweberi
Oak Titmouse,Baeolophus inornatus
Juniper Titmouse,Baeolophus ridgwayi
Tufted Titmouse,Baeolophus bicolor
Black-crested Titmouse,Baeolophus atricristatus
Eurasian Skylark,Alauda arvensis
Horned Lark,Eremophila alpestris
Thick-billed Warbler,Arundinax aedon
Millerbird,Acrocephalus familiaris
Sedge Warbler,Acrocephalus schoenobaenus
Blyth's Reed Warbler,Acrocephalus dumetorum
Black-capped Donacobius,Donacobius atricapilla
Pallas's Grasshopper Warbler,Helopsaltes certhiola
Middendorff's Grasshopper Warbler,Helopsaltes ochotensis
Lanceolated Warbler,Locustella lanceolata
River Warbler,Locustella fluviatilis
Bank Swallow,Riparia riparia
Tree Swallow,Tachycineta bicolor
Bahama Swallow,Tachycineta cyaneoviridis
Violet-green Swallow,Tachycineta thalassina
Golden Swallow,Tachycineta euchrysea
Mangrove Swallow,Tachycineta albilinea
Black-capped Swallow,Atticora pileata
White-thighed Swallow,Atticora tibialis
Blue-and-white Swallow,Pygochelidon cyanoleuca
Northern Rough-winged Swallow,Stelgidopteryx serripennis
Southern Rough-winged Swallow,Stelgidopteryx ruficollis
Brown-chested Martin,Progne tapera
Purple Martin,Progne subis
Southern Martin,Progne elegans
Gray-breasted Martin,Progne chalybea
Sinaloa Martin,Progne sinaloae
Cuban Martin,Progne cryptoleuca
Caribbean Martin,Progne dominicensis
Barn Swallow,Hirundo rustica
Western House-Martin,Delichon urbicum
Siberian House-Martin,Delichon lagopodum
Cliff Swallow,Petrochelidon pyrrhonota
Cave Swallow,Petrochelidon fulva
Bushtit,Psaltriparus minimus
Japanese Bush-Warbler,Horornis diphone
Willow Warbler,Phylloscopus trochilus
Common Chiffchaff,Phylloscopus collybita
Wood Warbler,Phylloscopus sibilatrix
Dusky Warbler,Phylloscopus fuscatus
Pallas's Leaf Warbler,Phylloscopus proregulus
Yellow-browed Warbler,Phylloscopus inornatus
Arctic Warbler,Phylloscopus borealis
Kamchatka Leaf Warbler,Phylloscopus examinandus
Red-vented Bulbul,Pycnonotus cafer
Red-whiskered Bulbul,Pycnonotus jocosus
Eurasian Blackcap,Sylvia atricapilla
Lesser Whitethroat,Sylvia curruca
Wrentit,Chamaea fasciata
Warbling White-eye,Zosterops japonicus
Greater Necklaced Laughingthrush,Garrulax pectoralis
Hwamei,Garrulax canorus
Red-billed Leiothrix,Leiothrix lutea
Ruby-crowned Kinglet,Corthylio calendula
Golden-crowned Kinglet,Regulus satrapa
Palmchat,Dulus dominicus
Bohemian Waxwing,Bombycilla garrulus
Cedar Waxwing,Bombycilla cedrorum
Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha
Gray Silky-flycatcher,Ptiliogonys cinereus
Long-tailed Silky-flycatcher,Ptiliogonys caudatus
Phainopepla,Phainopepla nitens
Kauai Oo,Moho braccatus
Oahu Oo,Moho apicalis
Bishop's Oo,Moho bishopi
Hawaii Oo,Moho nobilis
Kioea,Chaetoptila angustipluma
Red-breasted Nuthatch,Sitta canadensis
White-breasted Nuthatch,Sitta carolinensis
Pygmy Nuthatch,Sitta pygmaea
Brown-headed Nuthatch,Sitta pusilla
Bahama Nuthatch,Sitta insularis
Brown Creeper,Certhia americana
Long-billed Gnatwren,Ramphocaenus melanurus
Tawny-faced Gnatwren,Microbates cinereiventris
Slate-throated Gnatcatcher,Polioptila schistaceigula
Cuban Gnatcatcher,Polioptila lembeyei
Yucatan Gnatcatcher,Polioptila albiventris
White-browed Gnatcatcher,Polioptila bilineata
Blue-gray Gnatcatcher,Polioptila caerulea
Black-tailed Gnatcatcher,Polioptila melanura
California Gnatcatcher,Polioptila californica
Black-capped Gnatcatcher,Polioptila nigriceps
White-lored Gnatcatcher,Polioptila albiloris
Rock Wren,Salpinctes obsoletus
Nightingale Wren,Microcerculus philomela
Scaly-breasted Wren,Microcerculus marginatus
Canyon Wren,Catherpes mexicanus
Sumichrast's Wren,Hylorchilus sumichrasti
Nava's Wren,Hylorchilus navai
Sooty-headed Wren,Pheugopedius spadix
Black-throated Wren,Pheugopedius atrogularis
Rufous-breasted Wren,Pheugopedius rutilus
Spot-breasted Wren,Pheugopedius maculipectus
Happy Wren,Pheugopedius felix
Black-bellied Wren,Pheugopedius fasciatoventris
Stripe-throated Wren,Cantorchilus leucopogon
Stripe-breasted Wren,Cantorchilus thoracicus
Cabanis's Wren,Cantorchilus modestus
Canebrake Wren,Cantorchilus zeledoni
Isthmian Wren,Cantorchilus elutus
Bay Wren,Cantorchilus nigricapillus
Riverside Wren,Cantorchilus semibadius
Buff-breasted Wren,Cantorchilus leucotis
White-breasted Wood-Wren,Henicorhina leucosticta
Gray-breasted Wood-Wren,Henicorhina leucophrys
Song Wren,Cyphorhinus phaeocephalus
White-bellied Wren,Uropsila leucogastra
Rufous-and-white Wren,Thryophilus rufalbus
Sinaloa Wren,Thryophilus sinaloa
Banded Wren,Thryophilus pleurostictus
White-headed Wren,Campylorhynchus albobrunneus
Band-backed Wren,Campylorhynchus zonatus
Gray-barred Wren,Campylorhynchus megalopterus
Giant Wren,Campylorhynchus chiapensis
Bicolored Wren,Campylorhynchus griseus
Rufous-naped Wren,Campylorhynchus rufinucha
Spotted Wren,Campylorhynchus gularis
Boucard's Wren,Campylorhynchus jocosus
Yucatan Wren,Campylorhynchus yucatanicus
Cactus Wren,Campylorhynchus brunneicapillus
Bewick's Wren,Thryomanes bewickii
Carolina Wren,Thryothorus ludovicianus
House Wren,Troglodytes aedon
Socorro Wren,Troglodytes sissonii
Clarion Wren,Troglodytes tanneri
Rufous-browed Wren,Troglodytes rufociliatus
Ochraceous Wren,Troglodytes ochraceus
Pacific Wren,Troglodytes pacificus
Winter Wren,Troglodytes hiemalis
Zapata Wren,Ferminia cerverai
Sedge Wren,Cistothorus stellaris
Grass Wren,Cistothorus platensis
Marsh Wren,Cistothorus palustris
Timberline Wren,Thryorchilus browni
Blue Mockingbird,Melanotis caerulescens
Blue-and-white Mockingbird,Melanotis hypoleucus
Black Catbird,Melanoptila glabrirostris
Gray Catbird,Dumetella carolinensis
White-breasted Thrasher,Ramphocinclus brachyurus
Scaly-breasted Thrasher,Allenia fusca
Pearly-eyed Thrasher,Margarops fuscatus
Brown Trembler,Cinclocerthia ruficauda
Gray Trembler,Cinclocerthia gutturalis
Curve-billed Thrasher,Toxostoma curvirostre
Ocellated Thrasher,Toxostoma ocellatum
Brown Thrasher,Toxostoma rufum
Long-billed Thrasher,Toxostoma longirostre
Cozumel Thrasher,Toxostoma guttatum
Bendire's Thrasher,Toxostoma bendirei
Gray Thrasher,Toxostoma cinereum
California Thrasher,Toxostoma redivivum
LeConte's Thrasher,Toxostoma lecontei
Crissal Thrasher,Toxostoma crissale
Sage Thrasher,Oreoscoptes montanus
Bahama Mockingbird,Mimus gundlachii
Socorro Mockingbird,Mimus graysoni
Tropical Mockingbird,Mimus gilvus
Northern Mockingbird,Mimus polyglottos
European Starling,Sturnus vulgaris
Common Myna,Acridotheres tristis
American Dipper,Cinclus mexicanus
Eastern Bluebird,Sialia sialis
Western Bluebird,Sialia mexicana
Mountain Bluebird,Sialia currucoides
Townsend's Solitaire,Myadestes townsendi
Brown-backed Solitaire,Myadestes occidentalis
Cuban Solitaire,Myadestes elisabeth
Rufous-throated Solitaire,Myadestes genibarbis
Black-faced Solitaire,Myadestes melanops
Varied Solitaire,Myadestes coloratus
Slate-colored Solitaire,Myadestes unicolor
Kamao,Myadestes myadestinus
Amaui,Myadestes woahensis
Olomao,Myadestes lanaiensis
Omao,Myadestes obscurus
Puaiohi,Myadestes palmeri
White's Thrush,Zoothera aurea
Black-billed Nightingale-Thrush,Catharus gracilirostris
Orange-billed Nightingale-Thrush,Catharus aurantiirostris
Slaty-backed Nightingale-Thrush,Catharus fuscater
Russet Nightingale-Thrush,Catharus occidentalis
Ruddy-capped Nightingale-Thrush,Catharus frantzii
Black-headed Nightingale-Thrush,Catharus mexicanus
Yellow-throated Nightingale-Thrush,Catharus dryas
Veery,Catharus fuscescens
Gray-cheeked Thrush,Catharus minimus
Bicknell's Thrush,Catharus bicknelli
Swainson's Thrush,Catharus ustulatus
Hermit Thrush,Catharus guttatus
Wood Thrush,Hylocichla mustelina
Mistle Thrush,Turdus viscivorus
Eurasian Blackbird,Turdus merula
Eyebrowed Thrush,Turdus obscurus
Dusky Thrush,Turdus eunomus
Naumann's Thrush,Turdus naumanni
Fieldfare,Turdus pilaris
Redwing,Turdus iliacus
Song Thrush,Turdus philomelos
Sooty Thrush,Turdus nigrescens
Black Thrush,Turdus infuscatus
Mountain Thrush,Turdus plebejus
Cocoa Thrush,Turdus fumigatus
Pale-vented Thrush,Turdus obsoletus
Clay-colored Thrush,Turdus grayi
Spectacled Thrush,Turdus nudigenis
White-eyed Thrush,Turdus jamaicensis
White-throated Thrush,Turdus assimilis
Rufous-backed Robin,Turdus rufopalliatus
Rufous-collared Robin,Turdus rufitorques
American Robin,Turdus migratorius
La Selle Thrush,Turdus swalesi
White-chinned Thrush,Turdus aurantius
Grand Cayman Thrush,Turdus ravidus
Red-legged Thrush,Turdus plumbeus
Forest Thrush,Turdus lherminieri
Varied Thrush,Ixoreus naevius
Aztec Thrush,Ridgwayia pinicola
Gray-streaked Flycatcher,Muscicapa griseisticta
Asian Brown Flycatcher,Muscicapa dauurica
Spotted Flycatcher,Muscicapa striata
Dark-sided Flycatcher,Muscicapa sibirica
White-rumped Shama,Copsychus malabaricus
European Robin,Erithacus rubecula
Siberian Blue Robin,Larvivora cyane
Rufous-tailed Robin,Larvivora sibilans
Bluethroat,Cyanecula svecica
Siberian Rubythroat,Calliope calliope
Red-flanked Bluetail,Tarsiger cyanurus
Narcissus Flycatcher,Ficedula narcissina
Mugimaki Flycatcher,Ficedula mugimaki
Taiga Flycatcher,Ficedula albicilla
Common Redstart,Phoenicurus phoenicurus
Rufous-tailed Rock-thrush,Monticola saxatilis
Asian Stonechat,Saxicola maurus
Northern Wheatear,Oenanthe oenanthe
Pied Wheatear,Oenanthe pleschanka
Olive Warbler,Peucedramus taeniatus
Village Weaver,Ploceus cucullatus
Northern Red Bishop,Euplectes franciscanus
Yellow-crowned Bishop,Euplectes afer
Pin-tailed Whydah,Vidua macroura
Bronze Mannikin,Spermestes cucullata
African Silverbill,Euodice cantans
Indian Silverbill,Euodice malabarica
Java Sparrow,Padda oryzivora
Scaly-breasted Munia,Lonchura punctulata
Tricolored Munia,Lonchura malacca
Chestnut Munia,Lonchura atricapilla
Red Avadavat,Amandava amandava
Lavender Waxbill,Glaucestrilda caerulescens
Orange-cheeked Waxbill,Estrilda melpoda
Common Waxbill,Estrilda astrild
Black-rumped Waxbill,Estrilda troglodytes
Siberian Accentor,Prunella montanella
House Sparrow,Passer domesticus
Eurasian Tree Sparrow,Passer montanus
Eastern Yellow Wagtail,Motacilla tschutschensis
Citrine Wagtail,Motacilla citreola
Gray Wagtail,Motacilla cinerea
White Wagtail,Motacilla alba
Tree Pipit,Anthus trivialis
Olive-backed Pipit,Anthus hodgsoni
Pechora Pipit,Anthus gustavi
Red-throated Pipit,Anthus cervinus
American Pipit,Anthus rubescens
Meadow Pipit,Anthus pratensis
Sprague's Pipit,Anthus spragueii
Yellowish Pipit,Anthus chii
Common Chaffinch,Fringilla coelebs
Brambling,Fringilla montifringilla
Elegant Euphonia,Chlorophonia elegantissima
Hispaniolan Euphonia,Chlorophonia musica
Puerto Rican Euphonia,Chlorophonia sclateri
Lesser Antillean Euphonia,Chlorophonia flavifrons
Yellow-collared Chlorophonia,Chlorophonia flavirostris
Blue-crowned Chlorophonia,Chlorophonia occipitalis
Golden-browed Chlorophonia,Chlorophonia callophrys
Jamaican Euphonia,Euphonia jamaica
West Mexican Euphonia,Euphonia godmani
Scrub Euphonia,Euphonia affinis
Yellow-crowned Euphonia,Euphonia luteicapilla
White-vented Euphonia,Euphonia minuta
Yellow-throated Euphonia,Euphonia hirundinacea
Thick-billed Euphonia,Euphonia laniirostris
Spot-crowned Euphonia,Euphonia imitans
Olive-backed Euphonia,Euphonia gouldi
Fulvous-vented Euphonia,Euphonia fulvicrissa
Tawny-capped Euphonia,Euphonia anneae
Orange-bellied Euphonia,Euphonia xanthogaster
Hooded Grosbeak,Coccothraustes abeillei
Evening Grosbeak,Coccothraustes vespertinus
Hawfinch,Coccothraustes coccothraustes
Common Rosefinch,Carpodacus erythrinus
Pallas's Rosefinch,Carpodacus roseus
Poo-uli,Melamprosops phaeosoma
Akikiki,Oreomystis bairdi
Oahu Alauahio,Paroreomyza maculata
Kakawahie,Paroreomyza flammea
Maui Alauahio,Paroreomyza montana
Palila,Loxioides bailleui
Laysan Finch,Telespiza cantans
Nihoa Finch,Telespiza ultima
Kona Grosbeak,Chloridops kona
Lesser Koa-Finch,Rhodacanthis flaviceps
Greater Koa-Finch,Rhodacanthis palmeri
Ula-ai-hawane,Ciridops anna
Akohekohe,Palmeria dolei
Laysan Honeycreeper,Himatione fraithii
Apapane,Himatione sanguinea
Iiwi,Drepanis coccinea
Hawaii Mamo,Drepanis pacifica
Black Mamo,Drepanis funerea
Ou,Psittirostra psittacea
Lanai Hookbill,Dysmorodrepanis munroi
Maui Parrotbill,Pseudonestor xanthophrys
Kauai Nukupuu,Hemignathus hanapepe
Oahu Nukupuu,Hemignathus lucidus
Maui Nukupuu,Hemignathus affinis
Akiapolaau,Hemignathus wilsoni
Lesser Akialoa,Akialoa obscura
Kauai Akialoa,Akialoa stejnegeri
Oahu Akialoa,Akialoa ellisiana
Maui-nui Akialoa,Akialoa lanaiensis
Anianiau,Magumma parva
Hawaii Amakihi,Chlorodrepanis virens
Oahu Amakihi,Chlorodrepanis flava
Kauai Amakihi,Chlorodrepanis stejnegeri
Greater Amakihi,Viridonia sagittirostris
Hawaii Creeper,Loxops mana
Akekee,Loxops caeruleirostris
Oahu Akepa,Loxops wolstenholmei
Maui Akepa,Loxops ochraceus
Hawaii Akepa,Loxops coccineus
Pine Grosbeak,Pinicola enucleator
Eurasian Bullfinch,Pyrrhula pyrrhula
Asian Rosy-Finch,Leucosticte arctoa
Gray-crowned Rosy-Finch,Leucosticte tephrocotis
Black Rosy-Finch,Leucosticte atrata
Brown-capped Rosy-Finch,Leucosticte australis
House Finch,Haemorhous mexicanus
Purple Finch,Haemorhous purpureus
Cassin's Finch,Haemorhous cassinii
Oriental Greenfinch,Chloris sinica
Yellow-fronted Canary,Crithagra mozambica
Common Redpoll,Acanthis flammea
Lesser Redpoll,Acanthis cabaret
Hoary Redpoll,Acanthis hornemanni
Red Crossbill,Loxia curvirostra
Cassia Crossbill,Loxia sinesciuris
Hispaniolan Crossbill,Loxia megaplaga
White-winged Crossbill,Loxia leucoptera
European Goldfinch,Carduelis carduelis
Eurasian Siskin,Spinus spinus
Pine Siskin,Spinus pinus
Black-capped Siskin,Spinus atriceps
Black-headed Siskin,Spinus notatus
Yellow-bellied Siskin,Spinus xanthogastrus
Red Siskin,Spinus cucullatus
Antillean Siskin,Spinus dominicensis
Lesser Goldfinch,Spinus psaltria
Lawrence's Goldfinch,Spinus lawrencei
American Goldfinch,Spinus tristis
Island Canary,Serinus canaria
Rosy Thrush-Tanager,Rhodinocichla rosea
Lapland Longspur,Calcarius lapponicus
Chestnut-collared Longspur,Calcarius ornatus
Smith's Longspur,Calcarius pictus
Thick-billed Longspur,Rhynchophanes mccownii
Snow Bunting,Plectrophenax nivalis
McKay's Bunting,Plectrophenax hyperboreus
Pine Bunting,Emberiza leucocephalos
Yellow-browed Bunting,Emberiza chrysophrys
Little Bunting,Emberiza pusilla
Rustic Bunting,Emberiza rustica
Yellow-throated Bunting,Emberiza elegans
Yellow-breasted Bunting,Emberiza aureola
Gray Bunting,Emberiza variabilis
Pallas's Bunting,Emberiza pallasi
Reed Bunting,Emberiza schoeniclus
Yellow-throated Chlorospingus,Chlorospingus flavigularis
Ashy-throated Chlorospingus,Chlorospingus canigularis
Sooty-capped Chlorospingus,Chlorospingus pileatus
Common Chlorospingus,Chlorospingus flavopectus
Tacarcuna Chlorospingus,Chlorospingus tacarcunae
Pirre Chlorospingus,Chlorospingus inornatus
Rufous-winged Sparrow,Peucaea carpalis
Cinnamon-tailed Sparrow,Peucaea sumichrasti
Stripe-headed Sparrow,Peucaea ruficauda
Black-chested Sparrow,Peucaea humeralis
Bridled Sparrow,Peucaea mystacalis
Botteri's Sparrow,Peucaea botterii
Cassin's Sparrow,Peucaea cassinii
Bachman's Sparrow,Peucaea aestivalis
Grasshopper Sparrow,Ammodramus savannarum
Olive Sparrow,Arremonops rufivirgatus
Green-backed Sparrow,Arremonops chloronotus
Black-striped Sparrow,Arremonops conirostris
Five-striped Sparrow,Amphispizopsis quinquestriata
Black-throated Sparrow,Amphispiza bilineata
Lark Sparrow,Chondestes grammacus
Lark Bunting,Calamospiza melanocorys
Chipping Sparrow,Spizella passerina
Clay-colored Sparrow,Spizella pallida
Black-chinned Sparrow,Spizella atrogularis
Field Sparrow,Spizella pusilla
Brewer's Sparrow,Spizella breweri
Worthen's Sparrow,Spizella wortheni
Costa Rican Brushfinch,Arremon costaricensis
Black-headed Brushfinch,Arremon atricapillus
Orange-billed Sparrow,Arremon aurantiirostris
Green-striped Brushfinch,Arremon virenticeps
Chestnut-capped Brushfinch,Arremon brunneinucha
Sooty-faced Finch,Arremon crassirostris
Fox Sparrow,Passerella iliaca
American Tree Sparrow,Spizelloides arborea
Volcano Junco,Junco vulcani
Guadalupe Junco,Junco insularis
Dark-eyed Junco,Junco hyemalis
Yellow-eyed Junco,Junco phaeonotus
Baird's Junco,Junco bairdi
Rufous-collared Sparrow,Zonotrichia capensis
White-crowned Sparrow,Zonotrichia leucophrys
Golden-crowned Sparrow,Zonotrichia atricapilla
Harris's Sparrow,Zonotrichia querula
White-throated Sparrow,Zonotrichia albicollis
Bell's Sparrow,Artemisiospiza belli
Sagebrush Sparrow,Artemisiospiza nevadensis
Striped Sparrow,Oriturus superciliosus
Vesper Sparrow,Pooecetes gramineus
LeConte's Sparrow,Ammospiza leconteii
Seaside Sparrow,Ammospiza maritima
Nelson's Sparrow,Ammospiza nelsoni
Saltmarsh Sparrow,Ammospiza caudacuta
Baird's Sparrow,Centronyx bairdii
Henslow's Sparrow,Centronyx henslowii
Savannah Sparrow,Passerculus sandwichensis
Sierra Madre Sparrow,Xenospiza baileyi
Song Sparrow,Melospiza melodia
Lincoln's Sparrow,Melospiza lincolnii
Swamp Sparrow,Melospiza georgiana
Large-footed Finch,Pezopetes capitalis
Zapata Sparrow,Torreornis inexpectata
Rusty-crowned Ground-Sparrow,Melozone kieneri
Canyon Towhee,Melozone fusca
White-throated Towhee,Melozone albicollis
Abert's Towhee,Melozone aberti
California Towhee,Melozone crissalis
White-eared Ground-Sparrow,Melozone leucotis
White-faced Ground-Sparrow,Melozone biarcuata
Cabanis's Ground-Sparrow,Melozone cabanisi
Rusty Sparrow,Aimophila rufescens
Rufous-crowned Sparrow,Aimophila ruficeps
Oaxaca Sparrow,Aimophila notosticta
Green-tailed Towhee,Pipilo chlorurus
Spotted Towhee,Pipilo maculatus
Eastern Towhee,Pipilo erythrophthalmus
Collared Towhee,Pipilo ocai
Rufous-capped Brushfinch,Atlapetes pileatus
White-naped Brushfinch,Atlapetes albinucha
Yellow-thighed Brushfinch,Atlapetes tibialis
Yellow-green Brushfinch,Atlapetes luteoviridis
Western Chat-Tanager,Calyptophilus tertius
Eastern Chat-Tanager,Calyptophilus frugivorus
Wrenthrush,Zeledonia coronata
Black-crowned Palm-Tanager,Phaenicophilus palmarum
Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus
White-winged Warbler,Xenoligea montana
Green-tailed Warbler,Microligea palustris
Puerto Rican Tanager,Nesospingus speculiferus
Western Spindalis,Spindalis zena
Jamaican Spindalis,Spindalis nigricephala
Hispaniolan Spindalis,Spindalis dominicensis
Puerto Rican Spindalis,Spindalis portoricensis
Yellow-headed Warbler,Teretistris fernandinae
Oriente Warbler,Teretistris fornsi
Yellow-breasted Chat,Icteria virens
Yellow-headed Blackbird,Xanthocephalus xanthocephalus
Bobolink,Dolichonyx oryzivorus
Chihuahuan Meadowlark,Sturnella lilianae
Eastern Meadowlark,Sturnella magna
Western Meadowlark,Sturnella neglecta
Red-breasted Meadowlark,Leistes militaris
Yellow-billed Cacique,Amblycercus holosericeus
Yellow-winged Cacique,Cassiculus melanicterus
Crested Oropendola,Psarocolius decumanus
Chestnut-headed Oropendola,Psarocolius wagleri
Montezuma Oropendola,Psarocolius montezuma
Black Oropendola,Psarocolius guatimozinus
Scarlet-rumped Cacique,Cacicus uropygialis
Yellow-rumped Cacique,Cacicus cela
Bahama Oriole,Icterus northropi
Cuban Oriole,Icterus melanopsis
Hispaniolan Oriole,Icterus dominicensis
Puerto Rican Oriole,Icterus portoricensis
St. Lucia Oriole,Icterus laudabilis
Montserrat Oriole,Icterus oberi
Martinique Oriole,Icterus bonana
Black-vented Oriole,Icterus wagleri
Bar-winged Oriole,Icterus maculialatus
Black-cowled Oriole,Icterus prosthemelas
Orchard Oriole,Icterus spurius
Hooded Oriole,Icterus cucullatus
Yellow-backed Oriole,Icterus chrysater
Orange-crowned Oriole,Icterus auricapillus
Yellow-tailed Oriole,Icterus mesomelas
Venezuelan Troupial,Icterus icterus
Streak-backed Oriole,Icterus pustulatus
Bullock's Oriole,Icterus bullockii
Orange Oriole,Icterus auratus
Jamaican Oriole,Icterus leucopteryx
Spot-breasted Oriole,Icterus pectoralis
Altamira Oriole,Icterus gularis
Audubon's Oriole,Icterus graduacauda
Baltimore Oriole,Icterus galbula
Black-backed Oriole,Icterus abeillei
Scott's Oriole,Icterus parisorum
Jamaican Blackbird,Nesopsar nigerrimus
Red-winged Blackbird,Agelaius phoeniceus
Red-shouldered Blackbird,Agelaius assimilis
Tricolored Blackbird,Agelaius tricolor
Tawny-shouldered Blackbird,Agelaius humeralis
Yellow-shouldered Blackbird,Agelaius xanthomus
Shiny Cowbird,Molothrus bonariensis
Bronzed Cowbird,Molothrus aeneus
Brown-headed Cowbird,Molothrus ater
Giant Cowbird,Molothrus oryzivorus
Melodious Blackbird,Dives dives
Cuban Blackbird,Ptiloxena atroviolacea
Rusty Blackbird,Euphagus carolinus
Brewer's Blackbird,Euphagus cyanocephalus
Common Grackle,Quiscalus quiscula
Boat-tailed Grackle,Quiscalus major
Great-tailed Grackle,Quiscalus mexicanus
Slender-billed Grackle,Quiscalus palustris
Nicaraguan Grackle,Quiscalus nicaraguensis
Greater Antillean Grackle,Quiscalus niger
Carib Grackle,Quiscalus lugubris
Yellow-hooded Blackbird,Chrysomus icterocephalus
Ovenbird,Seiurus aurocapilla
Worm-eating Warbler,Helmitheros vermivorum
Louisiana Waterthrush,Parkesia motacilla
Northern Waterthrush,Parkesia noveboracensis
Bachman's Warbler,Vermivora bachmanii
Golden-winged Warbler,Vermivora chrysoptera
